,Dataverses_niv1,Ids,Dataverses_niv2,Ids_niv2
0,Collections MNHN,23,[],[]
1,DRIIHM (Dispositif de Recherche Interdisciplinaire sur les Interactions Hommes-Milieux),31,"['OHM Pyrénées Haut Vicdessos', 'OHMi Estarreja', 'OHMi Nunavik', 'OHM Oyapock', 'OHMi Téssékéré', 'OHM Littoral Caraïbe', 'OHM Fessenheim', 'OHMi Patagonia-Bahia Exploradores', 'OHM Bassin minier de Provence', 'OHM Littoral méditerranéen', 'OHM Pays de Bitche', 'OHM Vallée du Rhône', 'OHMi Pima County']","[132, 2179, 2180, 2181, 2182, 2183, 2184, 2185, 2186, 2187, 2188, 2189, 2190]"
2,Réseau des Zones Ateliers (RZA - LTER France),35,"['Zone atelier territoires uranifères', 'Zone Atelier Seine', 'Zone atelier Loire', 'Zone atelier bassin du Rhône', 'Zone atelier bassin de la Moselle', 'Zone atelier Alpes', 'Zone atelier arc jurassien', 'Zone atelier Armorique', 'Zone atelier Plaine et Val de Sèvre', 'Zone atelier environnementale urbaine', 'Zone atelier Hwange', 'Zone atelier Pyrénées Garonne', 'Zone atelier Brest Iroise']","[36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49]"
3,Centre de Recherche en Paléontologie - Paris (CR2P),54,[],[]
4,BOREA,114,[],[]
5,"Institut de minéralogie, de physique des matériaux et de cosmochimie (IMPMC)",115,[],[]
6,Centre d'Ecologie Fonctionnelle et Evolutive (CEFE),123,[],[]
7,Institut des Sciences de l'Évolution de Montpellier (ISEM),128,"['Génomique', 'Écologie', 'Environnement', 'Morphologie', 'Archéobiologie', 'Anthropologie', 'Cytologie', 'Évolution expérimentale', 'Collections']","[2332, 2335, 2337, 2338, 2339, 2340, 2341, 2342, 6013]"
8,"Archéozoologie et Archéobotanique - Sociétés, Pratiques et Environnements (AASPE)",151,[],[]
9,iEES-Paris,152,[],[]
10,GEODE (Géographie de l'Environnement),195,[],[]
11,GEOLAB (Laboratoire de géographie physique et environnementale),1756,[],[]
12,PatriNat,1773,[],[]
13,EDYTEM,1777,[],[]
14,Station biologique de Roscoff,1909,[],[]
15,Laboratoire de biologie intégrative des modèles marins,1910,[],[]
16,ECOBIO UMR 6553 Ecosystèmes Biodiversité Evolution,2082,[],[]
17,Pelagis,2087,[],[]
18,Xper3,2259,[],[]
19,Fédération Île-de-France de Recherche sur l'Environnement (FIRE),2284,[],[]
20,"Institut de Systématique, Evolution, Biodiversité (ISYEB)",2285,[],[]
21,Centre de recherche en écologie expérimentale et prédictive (CEREEP Ecotron IDF),2314,[],[]
22,Littoral - Environnement - Télédétection - Géomatique (LETG),2315,['ANR ARICO'],[2331]
23,Publications scientifiques du Muséum national d'Histoire naturelle,2615,['Geodiversitas'],[2719]
24,"Écologie, systématique et évolution ",2718,[],[]
25,Centre d'Etudes Biologiques de Chizé (CEBC),2868,[],[]
26,UMR Eco-anthropologie,3460,[],[]
27,MECADEV (Mécanismes adaptatifs & Evolution),4082,[],[]
28,Centre d'Ecologie et des Sciences de la Conservation (CESCO),4102,[],[]
29,LIttoral ENvironnement et Sociétés (LIENSs),4996,[],[]
30,AnaEE France,5050,[],[]
31,Biogéosciences,5056,[],[]
32,PACEA,5081,['Projects'],[5082]
33,Centre de Recherche sur la Conservation,5099,"['Documents graphiques', 'Projets']","[5146, 5150]"
34,Centre de Recherche sur la Biodiversité et l’Environnement (CRBE),5151,[],[]
35,UMR Écologie et Dynamique des Systèmes Anthropisés (EDYSAN),5917,['IMPRINT (projet ANR)'],[5923]
36,"Centre de Recherche en Archéologie, Archéosciences, Histoire (CReAAH)",6017,[],[]
37,Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim),6175,['Trident'],[6176]
