,Dataverses_niv2,Ids_niv2
0,[],[]
1,"['OHM Pyrénées Haut Vicdessos', 'OHMi Estarreja', 'OHMi Nunavik', 'OHM Oyapock', 'OHMi Téssékéré', 'OHM Littoral Caraïbe', 'OHM Fessenheim', 'OHMi Patagonia-Bahia Exploradores', 'OHM Bassin minier de Provence', 'OHM Littoral méditerranéen', 'OHM Pays de Bitche', 'OHM Vallée du Rhône', 'OHMi Pima County']","[132, 2179, 2180, 2181, 2182, 2183, 2184, 2185, 2186, 2187, 2188, 2189, 2190]"
2,"['Zone atelier territoires uranifères', 'Zone Atelier Seine', 'Zone atelier Loire', 'Zone atelier bassin du Rhône', 'Zone atelier bassin de la Moselle', 'Zone atelier Alpes', 'Zone atelier arc jurassien', 'Zone atelier Armorique', 'Zone atelier Plaine et Val de Sèvre', 'Zone atelier environnementale urbaine', 'Zone atelier Hwange', 'Zone atelier Pyrénées Garonne', 'Zone atelier Brest Iroise']","[36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49]"
3,[],[]
4,[],[]
5,[],[]
6,[],[]
7,"['Génomique', 'Écologie', 'Environnement', 'Morphologie', 'Archéobiologie', 'Anthropologie', 'Cytologie', 'Évolution expérimentale', 'Collections']","[2332, 2335, 2337, 2338, 2339, 2340, 2341, 2342, 6013]"
8,[],[]
9,[],[]
10,[],[]
11,[],[]
12,[],[]
13,[],[]
14,[],[]
15,[],[]
16,[],[]
17,[],[]
18,[],[]
19,[],[]
20,[],[]
21,[],[]
22,['ANR ARICO'],[2331]
23,['Geodiversitas'],[2719]
24,[],[]
25,[],[]
26,[],[]
27,[],[]
28,[],[]
29,[],[]
30,[],[]
31,[],[]
32,['Projects'],[5082]
33,"['Documents graphiques', 'Projets']","[5146, 5150]"
34,[],[]
35,['IMPRINT (projet ANR)'],[5923]
